#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126  0.76500  0.000000  0.000000  0.000000     1.000
   0.00634  0.99372  0.00214  0.86298  0.000000  0.000000  0.000000     1.000
   0.01739  0.98277  0.00365  0.89693  0.000000  0.000000  0.000000     1.000
   0.03029  0.96999  0.00539  0.92114  0.000000  0.000000  0.000000     1.000
   0.04475  0.95567  0.00731  0.93918  0.000000  0.000000  0.000000     1.000
   0.06028  0.94026  0.00934  0.95373  0.000000  0.000000  0.000000     1.000
   0.07646  0.92422  0.01142  0.96602  0.000000  0.000000  0.000000     1.000
   0.09297  0.90784  0.01350  0.97648  0.000000  0.000000  0.000000     1.000
   0.10966  0.89128  0.01556  0.98563  0.000000  0.000000  0.000000     1.000
   0.12644  0.87462  0.01759  0.99372  0.000000  0.000000  0.000000     1.000
   0.14325  0.85793  0.01959  1.00127  0.000000  0.000000  0.000000     1.000
   0.16009  0.84120  0.02155  1.00795  0.000000  0.000000  0.000000     1.000
   0.17694  0.82446  0.02348  1.01429  0.000000  0.000000  0.000000     1.000
   0.19380  0.80771  0.02537  1.02021  0.000000  0.000000  0.000000     1.000
   0.21066  0.79095  0.02723  1.02574  0.000000  0.000000  0.000000     1.000
   0.22752  0.77419  0.02905  1.03122  0.000000  0.000000  0.000000     1.000
   0.24438  0.75742  0.03083  1.03626  0.000000  0.000000  0.000000     1.000
   0.26124  0.74066  0.03257  1.04121  0.000000  0.000000  0.000000     1.000
   0.27810  0.72389  0.03428  1.04610  0.000000  0.000000  0.000000     1.000
   0.29495  0.70712  0.03594  1.05069  0.000000  0.000000  0.000000     1.000
   0.31179  0.69035  0.03757  1.05532  0.000000  0.000000  0.000000     1.000
   0.32863  0.67359  0.03916  1.05988  0.000000  0.000000  0.000000     1.000
   0.34546  0.65683  0.04071  1.06426  0.000000  0.000000  0.000000     1.000
   0.36228  0.64008  0.04221  1.06873  0.000000  0.000000  0.000000     1.000
   0.37909  0.62333  0.04367  1.07314  0.000000  0.000000  0.000000     1.000
   0.39589  0.60659  0.04509  1.07742  0.000000  0.000000  0.000000     1.000
   0.41267  0.58987  0.04646  1.08175  0.000000  0.000000  0.000000     1.000
   0.42944  0.57315  0.04778  1.08609  0.000000  0.000000  0.000000     1.000
   0.44619  0.55645  0.04905  1.09033  0.000000  0.000000  0.000000     1.000
   0.46292  0.53976  0.05026  1.09467  0.000000  0.000000  0.000000     1.000
   0.47963  0.52309  0.05143  1.09898  0.000000  0.000000  0.000000     1.000
   0.49632  0.50644  0.05253  1.10326  0.000000  0.000000  0.000000     1.000
   0.51299  0.48980  0.05357  1.10763  0.000000  0.000000  0.000000     1.000
   0.52963  0.47319  0.05455  1.11180  0.000000  0.000000  0.000000     1.000
   0.54624  0.45660  0.05546  1.11624  0.000000  0.000000  0.000000     1.000
   0.56282  0.44004  0.05630  1.12044  0.000000  0.000000  0.000000     1.000
   0.57937  0.42351  0.05707  1.12481  0.000000  0.000000  0.000000     1.000
   0.59589  0.40701  0.05776  1.12902  0.000000  0.000000  0.000000     1.000
   0.61236  0.39055  0.05837  1.13336  0.000000  0.000000  0.000000     1.000
   0.62880  0.37412  0.05889  1.13758  0.000000  0.000000  0.000000     1.000
   0.64519  0.35774  0.05932  1.14175  0.000000  0.000000  0.000000     1.000
   0.66153  0.34140  0.05965  1.14600  0.000000  0.000000  0.000000     1.000
   0.67782  0.32511  0.05988  1.15010  0.000000  0.000000  0.000000     1.000
   0.69405  0.30888  0.06000  1.15417  0.000000  0.000000  0.000000     1.000
   0.71022  0.29272  0.06001  1.15821  0.000000  0.000000  0.000000     1.000
   0.72631  0.27662  0.05989  1.16205  0.000000  0.000000  0.000000     1.000
   0.74233  0.26060  0.05965  1.16586  0.000000  0.000000  0.000000     1.000
   0.75827  0.24467  0.05927  1.16951  0.000000  0.000000  0.000000     1.000
   0.77411  0.22884  0.05875  1.17299  0.000000  0.000000  0.000000     1.000
   0.78983  0.21313  0.05807  1.17616  0.000000  0.000000  0.000000     1.000
   0.80543  0.19755  0.05723  1.17937  0.000000  0.000000  0.000000     1.000
   0.82087  0.18214  0.05622  1.18203  0.000000  0.000000  0.000000     1.000
   0.83613  0.16693  0.05503  1.18448  0.000000  0.000000  0.000000     1.000
   0.85117  0.15196  0.05365  1.18639  0.000000  0.000000  0.000000     1.000
   0.86591  0.13730  0.05207  1.18787  0.000000  0.000000  0.000000     1.000
   0.88029  0.12303  0.05029  1.18871  0.000000  0.000000  0.000000     1.000
   0.89417  0.10929  0.04832  1.18870  0.000000  0.000000  0.000000     1.000
   0.90742  0.09622  0.04618  1.18772  0.000000  0.000000  0.000000     1.000
   0.91986  0.08399  0.04389  1.18567  0.000000  0.000000  0.000000     1.000
   0.93132  0.07278  0.04150  1.18225  0.000000  0.000000  0.000000     1.000
   0.94168  0.06271  0.03908  1.17735  0.000000  0.000000  0.000000     1.000
   0.95091  0.05380  0.03667  1.17065  0.000000  0.000000  0.000000     1.000
   0.95903  0.04603  0.03431  1.16237  0.000000  0.000000  0.000000     1.000
   0.96614  0.03929  0.03203  1.15179  0.000000  0.000000  0.000000     1.000
   0.97238  0.03346  0.02983  1.13960  0.000000  0.000000  0.000000     1.000
   0.97787  0.02840  0.02771  1.12423  0.000000  0.000000  0.000000     1.000
   0.98273  0.02399  0.02566  1.10638  0.000000  0.000000  0.000000     1.000
   0.98707  0.02013  0.02367  1.08444  0.000000  0.000000  0.000000     1.000
   0.99097  0.01674  0.02173  1.05865  0.000000  0.000000  0.000000     1.000
   0.99451  0.01376  0.01982  1.02707  0.000000  0.000000  0.000000     1.000
   0.99774  0.01114  0.01793  0.98931  0.000000  0.000000  0.000000     1.000
   1.00071  0.00883  0.01606  0.94227  0.000000  0.000000  0.000000     1.000
