#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126  1.02793  0.021796  0.002994 -0.000232     7.280
   0.00634  0.99372  0.00214  1.02831  0.021736  0.002985 -0.000323     7.282
   0.01739  0.98277  0.00365  1.02889  0.021411  0.002971 -0.000326     7.207
   0.03029  0.96999  0.00539  1.02957  0.020965  0.002955 -0.000330     7.095
   0.04475  0.95567  0.00731  1.03034  0.020411  0.002937 -0.000334     6.949
   0.06028  0.94026  0.00934  1.03120  0.019775  0.002918 -0.000339     6.777
   0.07646  0.92422  0.01142  1.03215  0.019086  0.002898 -0.000345     6.587
   0.09297  0.90784  0.01350  1.03318  0.018367  0.002876 -0.000352     6.387
   0.10966  0.89128  0.01556  1.03429  0.017636  0.002853 -0.000360     6.181
   0.12644  0.87462  0.01759  1.03550  0.016902  0.002829 -0.000368     5.974
   0.14325  0.85793  0.01959  1.03682  0.016172  0.002804 -0.000377     5.768
   0.16009  0.84120  0.02155  1.03826  0.015455  0.002777 -0.000385     5.565
   0.17694  0.82446  0.02348  1.03983  0.014753  0.002749 -0.000389     5.366
   0.19380  0.80771  0.02537  1.04154  0.014069  0.002719 -0.000392     5.174
   0.21066  0.79095  0.02723  1.04341  0.013408  0.002688 -0.000390     4.988
   0.22752  0.77419  0.02905  1.04544  0.012769  0.002655 -0.000381     4.809
   0.24438  0.75742  0.03083  1.04765  0.012157  0.002621 -0.000363     4.639
   0.26124  0.74066  0.03257  1.05003  0.011571  0.002585 -0.000333     4.477
   0.27810  0.72389  0.03428  1.05260  0.011011  0.002547 -0.000290     4.323
   0.29495  0.70712  0.03594  1.05532  0.010481  0.002508 -0.000233     4.179
   0.31179  0.69035  0.03757  1.05820  0.009977  0.002468 -0.000160     4.042
   0.32863  0.67359  0.03916  1.06126  0.009502  0.002427 -0.000072     3.915
   0.34546  0.65683  0.04071  1.06450  0.009055  0.002384  0.000031     3.798
   0.36228  0.64008  0.04221  1.06793  0.008634  0.002340  0.000147     3.690
   0.37909  0.62333  0.04367  1.07153  0.008239  0.002294  0.000275     3.591
   0.39589  0.60659  0.04509  1.07530  0.007871  0.002247  0.000413     3.502
   0.41267  0.58987  0.04646  1.07921  0.007526  0.002200  0.000561     3.421
   0.42944  0.57315  0.04778  1.08324  0.007203  0.002152  0.000716     3.348
   0.44619  0.55645  0.04905  1.08738  0.006901  0.002103  0.000877     3.282
   0.46292  0.53976  0.05026  1.09160  0.006616  0.002054  0.001045     3.222
   0.47963  0.52309  0.05143  1.09589  0.006348  0.002005  0.001218     3.167
   0.49632  0.50644  0.05253  1.10023  0.006096  0.001955  0.001397     3.118
   0.51299  0.48980  0.05357  1.10461  0.005855  0.001906  0.001581     3.072
   0.52963  0.47319  0.05455  1.10900  0.005629  0.001857  0.001768     3.031
   0.54624  0.45660  0.05546  1.11342  0.005411  0.001808  0.001964     2.993
   0.56282  0.44004  0.05630  1.11783  0.005205  0.001759  0.002162     2.959
   0.57937  0.42351  0.05707  1.12225  0.005005  0.001710  0.002371     2.926
   0.59589  0.40701  0.05776  1.12664  0.004814  0.001662  0.002583     2.897
   0.61236  0.39055  0.05837  1.13103  0.004628  0.001613  0.002809     2.868
   0.62880  0.37412  0.05889  1.13537  0.004449  0.001565  0.003040     2.843
   0.64519  0.35774  0.05932  1.13968  0.004275  0.001517  0.003283     2.818
   0.66153  0.34140  0.05965  1.14396  0.004105  0.001469  0.003540     2.795
   0.67782  0.32511  0.05988  1.14816  0.003940  0.001420  0.003810     2.773
   0.69405  0.30888  0.06000  1.15231  0.003777  0.001372  0.004096     2.753
   0.71022  0.29272  0.06001  1.15636  0.003619  0.001324  0.004400     2.733
   0.72631  0.27662  0.05989  1.16032  0.003463  0.001276  0.004724     2.714
   0.74233  0.26060  0.05965  1.16413  0.003310  0.001227  0.005064     2.697
   0.75827  0.24467  0.05927  1.16783  0.003159  0.001179  0.005438     2.680
   0.77411  0.22884  0.05875  1.17134  0.003009  0.001130  0.005839     2.663
   0.78983  0.21313  0.05807  1.17462  0.002863  0.001081  0.006263     2.649
   0.80543  0.19755  0.05723  1.17774  0.002715  0.001031  0.006750     2.632
